state,event_type,magnitude
Ha,high wind,144.0
Ca,high wind,139.0
Ca,high wind,136.0
Ut,high wind,129.0
Ut,high wind,113.0
So,thunderstorm wind,113.0
Wy,high wind,111.0
So,thunderstorm wind,109.0
So,thunderstorm wind,104.0
So,thunderstorm wind,104.0
Ca,high wind,104.0
So,thunderstorm wind,104.0
No,thunderstorm wind,104.0
Oh,thunderstorm wind,104.0
Oh,thunderstorm wind,104.0
No,thunderstorm wind,104.0
Ca,high wind,103.0
Ne,high wind,101.0
Ca,high wind,101.0
Co,high wind,101.0
Ka,thunderstorm wind,100.0
Ca,high wind,98.0
Ca,high wind,97.0
Ne,high wind,97.0
Wy,high wind,96.0
Ca,high wind,96.0
No,thunderstorm wind,96.0
De,thunderstorm wind,96.0
No,thunderstorm wind,96.0
De,thunderstorm wind,96.0
So,thunderstorm wind,96.0
De,thunderstorm wind,96.0
Mi,thunderstorm wind,96.0
Pe,thunderstorm wind,96.0
Ka,thunderstorm wind,96.0
Ca,high wind,96.0
Mi,thunderstorm wind,96.0
Pe,thunderstorm wind,96.0
Ca,high wind,96.0
Ca,high wind,95.0
Ca,high wind,95.0
Wy,high wind,95.0
Ne,high wind,95.0
Ca,high wind,95.0
Ne,high wind,94.0
Ca,high wind,94.0
So,thunderstorm wind,93.0
Wy,high wind,93.0
Co,high wind,92.0
Co,high wind,91.0
So,thunderstorm wind,91.0
So,thunderstorm wind,91.0
Ne,thunderstorm wind,91.0
Ca,high wind,91.0
Te,thunderstorm wind,91.0
Wa,high wind,90.0
Ne,high wind,90.0
Ca,high wind,90.0
Ne,high wind,90.0
Ca,high wind,90.0
Ca,high wind,89.0
Ca,high wind,89.0
Ca,high wind,89.0
So,thunderstorm wind,89.0
We,thunderstorm wind,89.0
Ca,high wind,88.0
Ca,high wind,88.0
Oh,thunderstorm wind,87.0
Te,thunderstorm wind,87.0
In,thunderstorm wind,87.0
In,thunderstorm wind,87.0
Ka,thunderstorm wind,87.0
Ka,thunderstorm wind,87.0
Co,high wind,87.0
Ok,thunderstorm wind,87.0
Ok,thunderstorm wind,87.0
Ok,thunderstorm wind,87.0
Ok,thunderstorm wind,87.0
Ne,thunderstorm wind,87.0
Ok,thunderstorm wind,87.0
No,thunderstorm wind,87.0
Wy,thunderstorm wind,87.0
Ka,thunderstorm wind,87.0
Te,thunderstorm wind,87.0
Ne,thunderstorm wind,87.0
Ka,thunderstorm wind,87.0
Ka,thunderstorm wind,87.0
Ka,thunderstorm wind,87.0
Mi,thunderstorm wind,87.0
Al,thunderstorm wind,87.0
Ca,high wind,87.0
Ar,thunderstorm wind,87.0
Te,thunderstorm wind,87.0
So,thunderstorm wind,87.0
So,thunderstorm wind,87.0
Ne,thunderstorm wind,87.0
Mi,thunderstorm wind,87.0
Ok,thunderstorm wind,87.0
Al,thunderstorm wind,87.0
Mi,thunderstorm wind,87.0
Ne,thunderstorm wind,87.0
So,thunderstorm wind,87.0
Ne,thunderstorm wind,87.0
Mi,thunderstorm wind,87.0
In,thunderstorm wind,87.0
Wi,thunderstorm wind,87.0
Wi,thunderstorm wind,87.0
No,thunderstorm wind,87.0
Ne,thunderstorm wind,87.0
Ok,thunderstorm wind,87.0
Ok,thunderstorm wind,87.0
Ne,thunderstorm wind,87.0
No,thunderstorm wind,87.0
Pe,thunderstorm wind,87.0
Pe,thunderstorm wind,87.0
No,thunderstorm wind,87.0
Oh,thunderstorm wind,87.0
Ka,thunderstorm wind,86.0
Ca,high wind,86.0
Ca,high wind,86.0
So,thunderstorm wind,86.0
Wy,high wind,86.0
Wa,high wind,86.0
Or,high wind,86.0
Ok,thunderstorm wind,86.0
Ca,high wind,85.0
We,thunderstorm wind,85.0
Ca,high wind,85.0
Vi,thunderstorm wind,85.0
Ne,high wind,84.0
So,thunderstorm wind,84.0
So,thunderstorm wind,84.0
Il,thunderstorm wind,83.0
Id,high wind,83.0
Or,high wind,83.0
Al,thunderstorm wind,83.0
So,thunderstorm wind,83.0
Ut,high wind,83.0
So,thunderstorm wind,83.0
Ne,high wind,83.0
Te,thunderstorm wind,83.0
Ka,thunderstorm wind,83.0
Mi,thunderstorm wind,83.0
No,thunderstorm wind,83.0
Te,thunderstorm wind,83.0
Mi,thunderstorm wind,83.0
Ka,thunderstorm wind,83.0
Mi,thunderstorm wind,83.0
Mi,thunderstorm wind,83.0
Ca,high wind,83.0
Al,high wind,83.0
Te,thunderstorm wind,83.0
Ut,high wind,83.0
Ne,thunderstorm wind,83.0
So,thunderstorm wind,83.0
So,thunderstorm wind,83.0
So,thunderstorm wind,83.0
Ka,thunderstorm wind,83.0
So,thunderstorm wind,83.0
Ne,high wind,83.0
Ca,high wind,83.0
Ka,thunderstorm wind,83.0
So,thunderstorm wind,83.0
So,thunderstorm wind,83.0
So,thunderstorm wind,83.0
So,thunderstorm wind,83.0
Ne,thunderstorm wind,83.0
Ne,thunderstorm wind,83.0
So,thunderstorm wind,83.0
So,thunderstorm wind,83.0
Ne,thunderstorm wind,83.0
Mi,thunderstorm wind,83.0
Ca,high wind,83.0
Ne,thunderstorm wind,83.0
Ne,thunderstorm wind,83.0
Mi,thunderstorm wind,83.0
Lo,thunderstorm wind,83.0
So,thunderstorm wind,83.0
Te,thunderstorm wind,83.0
Te,thunderstorm wind,83.0
Co,high wind,83.0
Te,high wind,83.0
Lo,thunderstorm wind,83.0
Oh,thunderstorm wind,83.0
Ka,thunderstorm wind,82.0
Or,high wind,82.0
Mi,thunderstorm wind,82.0
Wy,high wind,82.0
Mi,thunderstorm wind,82.0
Wy,thunderstorm wind,82.0
Wy,thunderstorm wind,82.0
Oh,thunderstorm wind,82.0
Ne,high wind,82.0
Wy,high wind,81.0
Or,high wind,81.0
Ne,high wind,81.0
Ne,high wind,81.0
Mi,thunderstorm wind,81.0
Al,thunderstorm wind,81.0
Al,thunderstorm wind,81.0
Ne,high wind,81.0
Ne,high wind,81.0
Ca,high wind,81.0
Ne,high wind,81.0
Mi,thunderstorm wind,80.0
So,thunderstorm wind,80.0
Vi,thunderstorm wind,80.0
Ka,thunderstorm wind,80.0
Ca,high wind,80.0
Ma,thunderstorm wind,80.0
Ma,thunderstorm wind,80.0
Ka,thunderstorm wind,80.0
Ka,thunderstorm wind,80.0
Ka,thunderstorm wind,80.0
Ka,thunderstorm wind,80.0
So,thunderstorm wind,80.0
Ka,thunderstorm wind,80.0
Ka,thunderstorm wind,80.0
Ka,thunderstorm wind,80.0
Mi,thunderstorm wind,80.0
Fl,thunderstorm wind,80.0
Ka,thunderstorm wind,80.0
Oh,thunderstorm wind,80.0
Vi,thunderstorm wind,80.0
So,thunderstorm wind,80.0
Wy,high wind,80.0
Al,high wind,80.0